entry_id,character,modern_reading,mc_form,mc_onset,mc_onset_group,mc_rhyme,mc_rhyme_group,mc_annotation,oc_form_raw,oc_form_clean,gloss,source_ref,pdf_page,raw_text
0000-,𠓥,biān,pjien,p,幫,-jien,仙 (IV),p- + -jien A,*pe[n],pen,whip (n.),10128.06115U+204E5,3,0000-𠓥biānpjien(p- + -jien A)*pe[n] whip (n.)10128.06115U+204E5
0000-,豳,bīn,pin,p,幫,-in,真 (III),p- + -in A,*prə[n],prən,(place name),63618.1815210U+8C73,3,0000-豳bīnpin(p- + -in A)*prəә[n] (place name)63618.1815210U+8C73
0000-,罽,jì,kjej,k,見,-jej,,k- + -jej C,*[k](r)[a][t]-s,krat-s,a kind of woolen fabric,42926.0812212U+7F7D,3,0000-罽jìkjejH(k- + -jej C)*[k](r)[a][t]-s a kind of woolen fabric42926.0812212U+7F7D
0000-,件,jiàn,gjen,g,群,-jen,仙 (III),g- + -jen B,*[g]r[a][n]ʔ,granʔ,(no pre-Qín exx?)item,10122.0394U+4EF6,3,0000-件jiàngjenX(g- + -jen B)*[g]r[a][n]ʔ (no pre-Qín exx?)item10122.0394U+4EF6
0000-,玨,jué,kaewk,k,見,-aewk,覺,k- + -aewk D,*[k]ˤrok,kˤrok,two pieces of jade,21103.01964U+73A8,3,0000-玨juékaewk(k- + -aewk D)*[k]ˤrok two pieces of jade21103.01964U+73A8
0000-,巜,kuài,kwaj,k,見,-waj,泰,k- + -waj C,*[k]ˤop-s,kˤop-s,"watering channel, drain",10049.07470U+5DDC,3,"0000-巜kuàikwajH(k- + -waj C)*[k]ˤop-s watering channel, drain10049.07470U+5DDC"
0000-,宀,mián,mjien,m,明,-jien,仙 (IV),m- + -jien A,*me[ŋ],meŋ,"(no pre-Qín exx.)house, building",20909.13400U+5B80,3,"0000-宀miánmjien(m- + -jien A)*me[ŋ] (no pre-Qín exx.)house, building20909.13400U+5B80"
0000-,夒,náo,naw,n,泥,-aw,豪,n- + -aw A,*nˤu,nˤu,a kind of monkey,20871.233516U+5912,3,0000-夒náonaw(n- + -aw A)*nˤu a kind of monkey20871.233516U+5912
0000-,尿,niào,new,n,泥,-ew,蕭,n- + -ew C,*kə.nˤewk-s,kə.nˤewk-s,urine,20966.15444U+5C3F,3,0000-尿niàonewH(n- + -ew C)*kəә.nˤewk-s urine20966.15444U+5C3F
0000-,傘,sǎn,san,s,心,-an,寒,s- + -an B,*[s]ˤarʔ,sˤarʔ,"umbrella, parasol",10198.13910U+5098,3,"0000-傘sǎnsanX(s- + -an B)*[s]ˤarʔ umbrella, parasol10198.13910U+5098"
0000-,𦳊,shǐ,syij,sy,書,-ij,脂 (III),sy- + -ij B,*[qʰ]ijʔ,qʰijʔ,excrement,53249.121409U+26CCA,3,0000-𦳊shǐsyijX(sy- + -ij B)*[qʰ]ijʔ excrement53249.121409U+26CCA
0000-,𥝩,suì,zwij,z,邪,-wij,脂 (III),z- + -wij C,*s.[ɢ]ʷi[t]-s,s.ɢʷit-s,ear of grain,42594.091154U+25769,3,0000-𥝩suìzwijH(z- + -wij C)*s.[ɢ]ʷi[t]-s ear of grain42594.091154U+25769
0000-,囟,xìn,sin,s,心,-in,真 (III),s- + -in C,*[s]ə[r]-s,sər-s,fontanel,10713.03313U+56DF,3,0000-囟xìnsinH(s- + -in C)*[s]əә[r]-s fontanel10713.03313U+56DF
0000-,𩕾,yuàn,ngjwon,ng,疑,-jwon,元,ng- + -jwon C,*[ŋ]o[n]-s,ŋon-s,(< nasal + uvular?)to wish,74396.1118115U+2957E,3,0000-𩕾yuànngjwonH(ng- + -jwon C)*[ŋ]o[n]-s (< nasal + uvular?)to wish74396.1118115U+2957E
0001-,踦,jì,gje,g,群,-je,支 (III),g- + -je B,*[g](r)ajʔ,grajʔ,stand (Min dialects),63713.041578U+8E26,3,0001-踦jìgjeX(g- + -je B)*[g](r)ajʔ stand (Min dialects)63713.041578U+8E26
0001-,椅,yǐ,'je,',影,-je,支 (III),'- + -je B,*Cə.q(r)ajʔ,Cə.qrajʔ,chair,21228.09758U+6905,3,0001-椅yǐ'jeX('- + -je B)*Cəә.q(r)ajʔ chair21228.09758U+6905
0001a,可,kě,kha,kh,溪,-a,歌,kh- + -a B,*[k]ʰˤa[j]ʔ,kʰˤajʔ,may; acceptable,10567.07302U+53EF,3,0001a可kěkhaX(kh- + -a B)*[k]ʰˤa[j]ʔ may; acceptable10567.07302U+53EF
0001d,柯,kē,ka,k,見,-a,歌,k- + -a A,*[k]ˤar,kˤar,axe-handle,21178.06755U+67EF,3,0001d柯kēka(k- + -a A)*[k]ˤar axe-handle21178.06755U+67EF
