Records with null mc_rhyme_group: 117

Line 3: entry_id=0000-, mc_form=kjej, mc_rhyme=-jej
Line 636: entry_id=0171i, mc_form=xjwoj, mc_rhyme=-jwoj
Line 934: entry_id=0279g, mc_form=kjiej, mc_rhyme=-jiej
Line 947: entry_id=0285e, mc_form=ngjej, mc_rhyme=-jej
Line 1012: entry_id=0312d, mc_form=mjiej, mc_rhyme=-jiej
Line 1025: entry_id=0313n, mc_form=khjej, mc_rhyme=-jej
Line 1038: entry_id=0315b, mc_form=drjej, mc_rhyme=-jej
Line 1079: entry_id=0329a, mc_form=khjej, mc_rhyme=-jej
Line 1080: entry_id=0330a, mc_form=ngjiej, mc_rhyme=-jiej
Line 1081: entry_id=0330e, mc_form=ngjiej, mc_rhyme=-jiej
Line 1082: entry_id=0330f, mc_form=ngjiej, mc_rhyme=-jiej
Line 1085: entry_id=0332a, mc_form='jej, mc_rhyme=-jej
Line 1086: entry_id=0334a, mc_form=drjej, mc_rhyme=-jej
Line 1087: entry_id=0335d, mc_form=kjej, mc_rhyme=-jej
Line 1088: entry_id=0337a, mc_form=tsjej, mc_rhyme=-jej
Line 1090: entry_id=0337e, mc_form=tsjej, mc_rhyme=-jej
Line 1091: entry_id=0337f, mc_form=tsjej, mc_rhyme=-jej
Line 1097: entry_id=0340a, mc_form=ljej, mc_rhyme=-jej
Line 1098: entry_id=0340a, mc_form=ljej, mc_rhyme=-jej
Line 1099: entry_id=0340a, mc_form=ljej, mc_rhyme=-jej
Line 1100: entry_id=0340b, mc_form=ljej, mc_rhyme=-jej
Line 1101: entry_id=0340f, mc_form=ljej, mc_rhyme=-jej
Line 1104: entry_id=0340g, mc_form=ljej, mc_rhyme=-jej
Line 1105: entry_id=0341a, mc_form=bjiej, mc_rhyme=-jiej
Line 1106: entry_id=0341d, mc_form=bjiej, mc_rhyme=-jiej
Line 1107: entry_id=0341f, mc_form=bjiej, mc_rhyme=-jiej
Line 1108: entry_id=0341h, mc_form=pjiej, mc_rhyme=-jiej
Line 1116: entry_id=0346f, mc_form=xjwoj, mc_rhyme=-jwoj
